Estimators:,soft-DBA,soft-DBA2,soft-MBA,soft-MBA2
ACSF1,0.45,0.45,0.47,0.56
Adiac,0.4961636828644501,0.48081841432225064,0.5473145780051151,0.5754475703324808
ArrowHead,0.5142857142857142,0.52,0.6228571428571429,0.5771428571428572
BME,0.8133333333333334,0.8133333333333334,0.64,0.64
Beef,0.5,0.5,0.5,0.5
BeetleFly,0.8,0.8,0.85,0.9
BirdChicken,0.6,0.6,0.65,0.6
CBF,0.9688888888888889,0.9688888888888889,0.8744444444444445,0.8588888888888889
Car,0.6166666666666667,0.6,0.65,0.7666666666666667
Chinatown,0.956268221574344,0.956268221574344,0.9591836734693877,0.9737609329446064
ChlorineConcentration,0.31692708333333336,0.3171875,0.33255208333333336,0.32734375
CinCECGTorso,0.39492753623188404,0.39420289855072466,0.5202898550724637,0.5007246376811594
Coffee,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
Computers,0.608,0.608,0.64,0.668
CricketX,0.5871794871794872,0.5871794871794872,0.47692307692307695,0.4256410256410256
CricketY,0.5512820512820513,0.5512820512820513,0.49230769230769234,0.47692307692307695
CricketZ,0.6025641025641025,0.6025641025641025,0.4564102564102564,0.41025641025641024
Crop,0.43154761904761907,0.43142857142857144,0.4795238095238095,0.4761309523809524
DiatomSizeReduction,0.9509803921568627,0.9509803921568627,0.9607843137254902,0.9509803921568627
DistalPhalanxOutlineAgeGroup,0.697841726618705,0.697841726618705,0.7338129496402878,0.7194244604316546
DistalPhalanxOutlineCorrect,0.7318840579710145,0.7282608695652174,0.605072463768116,0.6702898550724637
DistalPhalanxTW,0.5971223021582733,0.5971223021582733,0.5971223021582733,0.6258992805755396
ECG200,0.75,0.75,0.75,0.75
ECG5000,0.8386666666666667,0.8386666666666667,0.8686666666666667,0.8693333333333333
ECGFiveDays,0.6434378629500581,0.6422764227642277,0.8164924506387921,0.7897793263646922
EOGHorizontalSignal,0.35911602209944754,0.356353591160221,0.4613259668508287,0.4088397790055249
EOGVerticalSignal,0.3812154696132597,0.3839779005524862,0.3287292817679558,0.31215469613259667
Earthquakes,0.5539568345323741,0.5539568345323741,0.5683453237410072,0.5467625899280576
ElectricDevices,0.5376734535079756,0.5368953443133186,0.589417714952665,0.5481779276358449
EthanolLevel,0.266,0.254,0.288,0.344
FaceAll,0.806508875739645,0.806508875739645,0.9088757396449704,0.7727810650887574
FaceFour,0.8295454545454546,0.8295454545454546,0.9431818181818182,0.9772727272727273
FacesUCR,0.7648780487804878,0.7648780487804878,0.9214634146341464,0.9253658536585366
FiftyWords,0.610989010989011,0.6087912087912087,0.7450549450549451,0.7758241758241758
Fish,0.7085714285714285,0.6857142857142857,0.6571428571428571,0.8171428571428572
FordA,0.5212121212121212,0.521969696969697,0.6174242424242424,0.6
FordB,0.5888888888888889,0.5888888888888889,0.6296296296296297,0.6246913580246913
FreezerRegularTrain,0.7642105263157895,0.763859649122807,0.7670175438596492,0.7663157894736842
FreezerSmallTrain,0.7684210526315789,0.7687719298245614,0.7596491228070176,0.7592982456140351
GunPoint,0.6733333333333333,0.66,0.7333333333333333,0.7333333333333333
GunPointAgeSpan,0.6518987341772152,0.6487341772151899,0.8544303797468354,0.8544303797468354
GunPointMaleVersusFemale,0.9715189873417721,0.9715189873417721,0.9272151898734177,0.9240506329113924
GunPointOldVersusYoung,0.6158730158730159,0.6190476190476191,0.7873015873015873,0.7619047619047619
Ham,0.7428571428571429,0.7428571428571429,0.7523809523809524,0.7619047619047619
HandOutlines,0.672972972972973,0.6756756756756757,0.7972972972972973,0.7162162162162162
Haptics,0.35714285714285715,0.3538961038961039,0.42207792207792205,0.41233766233766234
Herring,0.5625,0.5625,0.5625,0.625
HouseTwenty,0.8403361344537815,0.8403361344537815,0.8487394957983193,0.8235294117647058
InlineSkate,0.21636363636363637,0.21272727272727274,0.19636363636363635,0.21454545454545454
InsectEPGRegularTrain,0.8032128514056225,0.8032128514056225,0.6345381526104418,0.6345381526104418
InsectEPGSmallTrain,0.7630522088353414,0.7630522088353414,0.6144578313253012,0.6265060240963856
InsectWingbeatSound,0.296969696969697,0.296969696969697,0.6171717171717171,0.6207070707070707
ItalyPowerDemand,0.7249757045675413,0.7249757045675413,0.9329446064139941,0.9203109815354713
LargeKitchenAppliances,0.7173333333333334,0.7173333333333334,0.45066666666666666,0.568
Lightning2,0.5737704918032787,0.5737704918032787,0.6721311475409836,0.5901639344262295
Lightning7,0.7123287671232876,0.726027397260274,0.6712328767123288,0.726027397260274
Mallat,0.9552238805970149,0.9547974413646055,0.9671641791044776,0.9688699360341151
Meat,0.95,0.9333333333333333,0.9333333333333333,0.9
MedicalImages,0.44605263157894737,0.44605263157894737,0.3881578947368421,0.3447368421052632
MiddlePhalanxOutlineAgeGroup,0.5844155844155844,0.5844155844155844,0.5714285714285714,0.577922077922078
MiddlePhalanxOutlineCorrect,0.6391752577319587,0.6357388316151202,0.4742268041237113,0.570446735395189
MiddlePhalanxTW,0.5,0.4935064935064935,0.44805194805194803,0.4805194805194805
MixedShapesRegularTrain,0.7381443298969073,0.7402061855670103,0.8012371134020618,0.7901030927835051
MixedShapesSmallTrain,0.7505154639175258,0.7517525773195877,0.7764948453608247,0.7744329896907216
MoteStrain,0.8186900958466453,0.8186900958466453,0.8690095846645367,0.8610223642172524
NonInvasiveFetalECGThorax1,0.7185750636132315,0.704325699745547,0.7847328244274809,0.821882951653944
NonInvasiveFetalECGThorax2,0.7750636132315522,0.766412213740458,0.8249363867684478,0.8590330788804071
OSULeaf,0.4462809917355372,0.4462809917355372,0.5785123966942148,0.5867768595041323
OliveOil,0.8,0.7666666666666667,0.8666666666666667,0.8666666666666667
PhalangesOutlinesCorrect,0.6363636363636364,0.634032634032634,0.6083916083916084,0.6305361305361306
Phoneme,0.18037974683544303,0.1809071729957806,0.1872362869198312,0.19725738396624473
PigAirwayPressure,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.052884615384615384
PigArtPressure,0.21153846153846154,0.21634615384615385,0.42788461538461536,0.4519230769230769
PigCVP,0.12980769230769232,0.12980769230769232,0.14903846153846154,0.16826923076923078
Plane,0.9904761904761905,0.9904761904761905,0.9904761904761905,1.0
PowerCons,0.7833333333333333,0.7833333333333333,0.8611111111111112,0.8777777777777778
ProximalPhalanxOutlineAgeGroup,0.8341463414634146,0.8341463414634146,0.824390243902439,0.8195121951219512
ProximalPhalanxOutlineCorrect,0.6426116838487973,0.6426116838487973,0.6460481099656358,0.6426116838487973
ProximalPhalanxTW,0.697560975609756,0.697560975609756,0.7024390243902439,0.6878048780487804
RefrigerationDevices,0.5733333333333334,0.576,0.5226666666666666,0.536
Rock,0.56,0.56,0.68,0.72
ScreenType,0.3626666666666667,0.3626666666666667,0.42933333333333334,0.4026666666666667
SemgHandGenderCh2,0.6783333333333333,0.6783333333333333,0.715,0.695
SemgHandMovementCh2,0.41555555555555557,0.41555555555555557,0.4177777777777778,0.4066666666666667
SemgHandSubjectCh2,0.5555555555555556,0.5555555555555556,0.5733333333333334,0.6044444444444445
ShapeletSim,0.6166666666666667,0.6166666666666667,0.5388888888888889,0.5
ShapesAll,0.6216666666666667,0.6216666666666667,0.6733333333333333,0.705
SmallKitchenAppliances,0.656,0.656,0.6213333333333333,0.496
SmoothSubspace,0.8333333333333334,0.8333333333333334,0.86,0.7866666666666666
SonyAIBORobotSurface1,0.8119800332778702,0.8119800332778702,0.8153078202995009,0.8103161397670549
SonyAIBORobotSurface2,0.7639034627492131,0.7639034627492131,0.770199370409234,0.7712486883525709
StarLightCurves,0.8397280233122875,0.8413064594463332,0.7578921806702282,0.7571636716852841
Strawberry,0.5621621621621622,0.5621621621621622,0.5837837837837838,0.5891891891891892
SwedishLeaf,0.7152,0.7136,0.7776,0.8016
Symbols,0.9547738693467337,0.9537688442211055,0.9105527638190954,0.935678391959799
SyntheticControl,0.98,0.98,0.9533333333333334,0.9033333333333333
ToeSegmentation1,0.6885964912280702,0.6885964912280702,0.75,0.7675438596491229
ToeSegmentation2,0.8461538461538461,0.8384615384615385,0.8615384615384616,0.8615384615384616
Trace,1.0,1.0,0.47,0.64
TwoLeadECG,0.7778753292361721,0.7699736611062336,0.6356453028972783,0.7928007023705005
TwoPatterns,0.98675,0.98675,0.6125,0.568
UMD,0.8472222222222222,0.8472222222222222,0.5069444444444444,0.5069444444444444
UWaveGestureLibraryAll,0.8330541596873255,0.8324958123953099,0.8855388051367951,0.8827470686767169
UWaveGestureLibraryX,0.7007258514796203,0.7007258514796203,0.6596873255164712,0.6588498045784478
UWaveGestureLibraryY,0.5393634840871022,0.5399218313791178,0.6125069793411502,0.6088777219430486
UWaveGestureLibraryZ,0.6125069793411502,0.6119486320491345,0.6108319374651033,0.615857063093244
Wafer,0.3348475016223232,0.33500973393900063,0.7707657365347177,0.7464308890330954
Wine,0.5925925925925926,0.5740740740740741,0.5555555555555556,0.5555555555555556
WordSynonyms,0.3495297805642633,0.3510971786833856,0.49843260188087773,0.5141065830721003
Worms,0.45454545454545453,0.45454545454545453,0.5714285714285714,0.5194805194805194
WormsTwoClass,0.6103896103896104,0.6103896103896104,0.5714285714285714,0.5584415584415584
Yoga,0.5796666666666667,0.579,0.5486666666666666,0.586
